City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Romny,UA,2021-11-15 03:12:22,50.751,33.4747,30.76,88,0,7.87
106,Hualmay,PE,2021-11-15 03:12:23,-11.0964,-77.6139,63.41,84,76,7.09
107,Cherskiy,RU,2021-11-15 03:12:23,68.75,161.3,6.84,93,99,1.05
108,Saskylakh,RU,2021-11-15 03:12:24,71.9167,114.0833,-5.21,91,100,6.87
109,Ondjiva,AO,2021-11-15 03:12:24,-17.0667,15.7333,71.8,69,100,6.13
110,Coquimbo,CL,2021-11-15 03:12:25,-29.9533,-71.3436,55.13,87,0,0.0
111,Camacha,PT,2021-11-15 03:12:25,33.0833,-16.3333,63.82,68,20,6.91
112,Hermanus,ZA,2021-11-15 03:12:26,-34.4187,19.2345,60.91,75,100,3.02
113,New Norfolk,AU,2021-11-15 03:12:26,-42.7826,147.0587,51.66,52,43,5.01
114,Puerto Montt,CL,2021-11-15 03:11:12,-41.4698,-72.9447,47.23,87,75,10.36
115,Kiomboi,TZ,2021-11-15 03:12:27,-4.2667,34.3667,67.86,60,88,4.59
116,Jimenez,MX,2021-11-15 03:12:27,28.3333,-105.4,61.54,23,0,3.13
117,Port Alfred,ZA,2021-11-15 03:12:28,-33.5906,26.891,63.37,82,93,6.2
118,Kingsland,US,2021-11-15 03:12:28,30.8,-81.6898,55.31,94,0,4.38
119,Cape Town,ZA,2021-11-15 03:09:04,-33.9258,18.4232,64.35,78,100,7.02
120,Nanortalik,GL,2021-11-15 03:12:29,60.1432,-45.2371,20.84,59,0,38.01
121,Castro,BR,2021-11-15 03:12:29,-24.7911,-50.0119,56.61,93,99,7.94
122,Sindor,RU,2021-11-15 03:12:30,62.8629,51.8905,18.05,94,94,6.38
123,Buchanan,LR,2021-11-15 03:12:30,5.8808,-10.0467,76.96,84,19,1.86
124,Margate,GB,2021-11-15 03:12:31,51.3813,1.3862,51.69,77,100,1.01
125,Saint-Joseph,RE,2021-11-15 03:12:31,-21.3667,55.6167,75.58,75,30,4.76
126,Upernavik,GL,2021-11-15 03:09:30,72.7868,-56.1549,-0.38,76,5,7.25
127,Zagon,RO,2021-11-15 03:12:32,45.7667,26.1167,38.61,90,32,3.91
128,Buraydah,SA,2021-11-15 03:12:32,26.326,43.975,61.81,39,63,8.08
129,Belle Fourche,US,2021-11-15 03:12:33,44.6714,-103.8522,65.71,49,35,15.52
130,Toms River,US,2021-11-15 03:10:46,39.9537,-74.1979,45.91,70,100,1.99
131,Kaeo,NZ,2021-11-15 03:12:34,-35.1,173.7833,78.33,62,0,13.53
132,Coron,PH,2021-11-15 03:12:35,11.9986,120.2043,88.32,61,62,5.61
133,Atambua,ID,2021-11-15 03:12:35,-9.1061,124.8925,79.81,73,99,3.47
134,George,ZA,2021-11-15 03:09:42,-33.963,22.4617,62.69,68,100,3.18
135,Saint-Augustin,CA,2021-11-15 03:12:36,51.226,-58.6502,33.28,80,100,11.25
136,Torbay,CA,2021-11-15 03:12:37,47.6666,-52.7314,48.67,89,90,24.16
137,Nome,US,2021-11-15 03:12:37,64.5011,-165.4064,21.27,79,90,0.0
138,Camargo,MX,2021-11-15 03:12:38,27.6667,-105.1667,66.13,27,0,3.83
139,Marathon,US,2021-11-15 03:12:38,44.9,-89.7668,31.24,64,90,10.36
140,Menongue,AO,2021-11-15 03:13:39,-14.6585,17.691,64.08,86,100,2.66
