City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
192,Sorland,67.667,12.6934,44.67,91,100,31.21,NO,light rain
193,Longyearbyen,78.2186,15.6401,19.24,63,20,23.02,SJ,few clouds
194,Taltal,-25.4,-70.4833,58.17,87,5,4.09,CL,clear sky
195,Constitucion,-35.3333,-72.4167,51.62,56,0,9.62,CL,clear sky
196,Roblin,51.23,-101.3565,30.43,96,100,16.33,CA,overcast clouds
197,Nueva Loja,0.0847,-76.8828,70.25,98,77,2.13,EC,broken clouds
198,Odweyne,9.4092,45.064,73.18,48,8,7.09,SO,clear sky
199,Fort Nelson,58.8053,-122.7002,11.79,92,90,3.44,CA,light snow
200,Kaduna,10.5222,7.4383,70.57,32,67,2.71,NG,broken clouds
201,The Valley,18.217,-63.0578,81.1,63,0,20.8,AI,clear sky
202,Pergamino,-33.89,-60.5736,64.26,81,79,19.46,AR,moderate rain
203,Ca Mau,9.1769,105.15,78.55,88,100,7.38,VN,moderate rain
204,Vardo,70.3705,31.1107,35.8,97,96,7.47,NO,overcast clouds
205,Mabaruma,8.2,-59.7833,71.17,98,58,1.59,GY,broken clouds
206,Arraial Do Cabo,-22.9661,-42.0278,71.46,73,0,12.66,BR,clear sky
207,Ewa Beach,21.3156,-158.0072,76.98,75,1,4.0,US,clear sky
208,Wilmington Island,32.0036,-80.9737,52.99,81,1,0.0,US,clear sky
209,Strezhevoy,60.7333,77.5889,12.18,92,100,12.01,RU,light snow
210,Esperance,-33.8667,121.9,76.84,70,85,12.97,AU,overcast clouds
211,Baruun-Urt,46.6806,113.2792,35.33,35,35,15.01,MN,scattered clouds
212,Dikson,73.5069,80.5464,-13.41,97,48,6.44,RU,scattered clouds
213,Port-Cartier,50.0334,-66.8654,35.74,80,100,13.89,CA,overcast clouds
214,Homer,59.6425,-151.5483,22.87,70,1,6.91,US,clear sky
215,Cortes,41.9395,-1.4396,48.6,78,8,17.11,ES,clear sky
216,Oussouye,12.485,-16.5469,75.38,79,84,6.13,SN,broken clouds
217,Lorengau,-2.0226,147.2712,84.11,68,95,4.07,PG,overcast clouds
218,Namibe,-15.1961,12.1522,74.75,74,88,7.29,AO,overcast clouds
219,Sibolga,1.7427,98.7792,85.68,64,65,5.46,ID,broken clouds
220,Sudislavl,57.8817,41.7083,25.86,83,60,14.12,RU,broken clouds
221,Fortuna Foothills,32.6578,-114.4119,68.09,29,1,1.01,US,clear sky
222,Talnakh,69.4865,88.3972,2.12,95,100,11.39,RU,light snow
223,Maues,-3.3836,-57.7186,74.16,99,100,2.21,BR,overcast clouds
224,Sorong,-0.8833,131.25,84.09,67,80,6.38,ID,broken clouds
225,Codrington,-38.2667,141.9667,56.34,60,69,11.83,AU,broken clouds
226,Albertville,34.2676,-86.2089,51.66,64,1,6.91,US,clear sky
227,Alto Araguaia,-17.3147,-53.2153,67.1,98,99,6.55,BR,overcast clouds
228,Georgiyevka,43.0369,74.7114,35.64,69,98,4.47,KZ,smoke
229,Hervey Bay,-25.2986,152.8535,84.31,66,2,15.26,AU,clear sky
230,Nome,64.5011,-165.4064,3.27,67,1,0.0,US,clear sky
231,Berlevag,70.8578,29.0864,37.06,90,99,6.62,NO,overcast clouds
232,Penzance,50.1186,-5.5371,52.81,90,87,4.97,GB,overcast clouds
233,Batagay-Alyta,67.8006,130.4114,-15.11,89,85,4.81,RU,overcast clouds
234,Bilma,18.6853,12.9164,73.96,20,59,6.29,NE,broken clouds
235,Bathsheba,13.2167,-59.5167,81.21,69,40,25.32,BB,scattered clouds
236,Bitung,1.4451,125.1824,77.85,74,80,7.63,ID,broken clouds
237,La Victoria,10.2184,-67.3302,72.64,86,30,4.68,VE,scattered clouds
238,Tarakan,3.3,117.6333,83.7,74,75,3.44,ID,broken clouds
239,Vostok,46.4856,135.8833,24.01,82,97,10.58,RU,overcast clouds
240,Rakkestad,59.4251,11.3454,46.17,90,97,12.24,NO,overcast clouds
241,Kattivakkam,13.2167,80.3167,87.89,78,96,6.29,IN,overcast clouds
242,Satun,6.8333,100.0,87.8,76,99,0.87,TH,overcast clouds
243,Springbok,-29.6643,17.8865,68.34,21,0,2.28,ZA,clear sky
244,Camacha,33.0833,-16.3333,63.36,72,20,5.75,PT,few clouds
245,Varna,43.2167,27.9167,46.54,79,75,13.8,BG,broken clouds
246,Okhotsk,59.3833,143.3,11.57,80,17,16.93,RU,few clouds
247,Castro,-24.7911,-50.0119,57.15,94,69,4.09,BR,broken clouds
248,Guerrero Negro,27.9769,-114.0611,68.34,64,0,9.37,MX,clear sky
249,Cervo,43.6702,-7.4101,54.32,82,74,6.71,ES,broken clouds
250,Tiarei,-17.5333,-149.3333,80.62,80,55,11.72,PF,broken clouds
251,Ampanihy,-24.7,44.75,83.12,47,27,5.35,MG,scattered clouds
252,Manokwari,-0.8667,134.0833,81.91,76,77,3.51,ID,broken clouds
253,Koudougou,12.25,-2.3667,75.34,21,100,9.17,BF,overcast clouds
254,Ornskoldsvik,63.2909,18.7153,31.15,93,0,2.3,SE,clear sky
255,Cayenne,4.9333,-52.3333,76.08,91,75,3.44,GF,broken clouds
256,Lomovka,53.9194,58.3672,-1.28,77,26,3.24,RU,scattered clouds
257,Kavieng,-2.5744,150.7967,84.13,70,100,8.14,PG,overcast clouds
258,Guangshui,31.6199,113.9978,65.59,43,70,9.95,CN,broken clouds
259,Gizo,-8.103,156.8419,85.06,68,95,4.79,SB,light rain
260,Kosh-Agach,50.0,88.6667,12.09,49,46,1.79,RU,scattered clouds
261,Biak,-0.9131,122.8766,79.11,80,100,4.14,ID,overcast clouds
262,Tucurui,-3.7661,-49.6725,73.63,95,89,3.15,BR,very heavy rain
263,Mingyue,43.1069,128.9217,40.48,46,2,8.97,CN,clear sky
264,Fairbanks,64.8378,-147.7164,-2.9,80,90,0.0,US,light snow
265,Ilulissat,69.2167,-51.1,-1.89,88,100,7.87,GL,overcast clouds
