City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
479,Fare,PF,81.16,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
485,Khanpur,PK,81.39,clear sky,28.6453,70.6567,Ahmad bartan store
488,Phan Thiet,VN,82.71,moderate rain,10.9333,108.1,Hotel Saigon-PT
491,Kaohsiung,TW,85.08,scattered clouds,22.6163,120.3133,御宿商旅-中山館
496,Maragogi,BR,76.44,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
499,San Onofre,CO,77.23,overcast clouds,9.7359,-75.5263,Hotel Sinai
509,Bac Lieu,VN,79.02,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
512,Pamekasan,ID,85.12,light rain,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
517,Kloulklubed,PW,84.02,broken clouds,7.0419,134.2556,Storyboard Beach Resort
524,Grand-Lahou,CI,78.39,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
525,Daru,PG,82.45,moderate rain,-9.0763,143.2092,Daru Lodge
528,Araioses,BR,77.67,scattered clouds,-2.89,-41.9031,Pousada Vale do magu
538,Dong Xoai,VN,81.3,moderate rain,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
547,Oranjestad,AW,80.92,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
548,Paciran,ID,84.94,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
550,Gorontalo,ID,84.49,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
551,Kavaratti,IN,79.9,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
552,Maria Aurora,PH,84.88,scattered clouds,15.7967,121.4737,Attic Travellers Inn
563,Santiago Del Estero,AR,77.0,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
566,Berekua,DM,79.84,few clouds,15.2333,-61.3167,CarRod's Cottages
568,Bubaque,GW,82.11,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
581,Buala,SB,83.68,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
582,Labuhan,ID,85.23,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
597,Punta Cardon,VE,79.52,clear sky,11.6581,-70.215,Bambuda hotel
599,Kahului,US,78.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
604,Mansa,IN,78.4,clear sky,29.9833,75.3833,STARiHOTEL Mansa
605,Riyadh,SA,75.11,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
